"Airline","Date_of_Journey","Source","Destination","Dep_Time","Duration","Total_Stops","Price"
"Multiple carriers","2019-03-03","Delhi","Cochin","06:40:00",730,"1 stop",15135
"IndiGo","2019-03-03","Delhi","Cochin","18:35:00",420,"1 stop",14871
"GoAir","2019-03-03","Banglore","New Delhi","20:55:00",175,"non-stop",6722
"Vistara","2019-03-03","Banglore","New Delhi","21:10:00",175,"non-stop",7608
"Air India","2019-03-03","Delhi","Cochin","19:45:00",1410,"2 stops",12856
"IndiGo","2019-03-03","Delhi","Cochin","08:35:00",455,"1 stop",7663
"IndiGo","2019-03-03","Kolkata","Banglore","15:10:00",155,"non-stop",6985
"IndiGo","2019-03-03","Delhi","Cochin","08:35:00",825,"1 stop",10236
"Jet Airways","2019-03-03","Delhi","Cochin","02:15:00",1570,"1 stop",17024
"Jet Airways Business","2019-03-03","Delhi","Cochin","20:05:00",500,"2 stops",46490
"SpiceJet","2019-03-03","Kolkata","Banglore","06:55:00",160,"non-stop",4622
"Multiple carriers","2019-03-03","Delhi","Cochin","04:00:00",450,"1 stop",14973
"IndiGo","2019-03-03","Delhi","Cochin","04:45:00",405,"1 stop",14871
"Air Asia","2019-03-03","Banglore","New Delhi","23:25:00",165,"non-stop",6135
"IndiGo","2019-03-03","Delhi","Cochin","16:10:00",370,"1 stop",11237
"Air India","2019-03-03","Delhi","Cochin","08:00:00",675,"1 stop",15197
"Air India","2019-03-03","Delhi","Cochin","16:40:00",1595,"2 stops",14221
"Multiple carriers","2019-03-03","Delhi","Cochin","07:10:00",850,"2 stops",8938
"SpiceJet","2019-03-03","Banglore","New Delhi","05:45:00",170,"non-stop",6860
"Air India","2019-03-03","Banglore","New Delhi","08:15:00",1475,"1 stop",6781
"SpiceJet","2019-03-03","Delhi","Cochin","15:55:00",360,"1 stop",11349
"Air India","2019-03-03","Banglore","New Delhi","11:05:00",2105,"2 stops",11948
"Multiple carriers","2019-03-03","Delhi","Cochin","08:25:00",625,"1 stop",15135
"Multiple carriers","2019-03-03","Delhi","Cochin","08:55:00",725,"1 stop",15147
"IndiGo","2019-03-03","Banglore","New Delhi","16:55:00",170,"non-stop",8855
"Multiple carriers","2019-03-03","Delhi","Cochin","13:00:00",480,"1 stop",18286
"Air India","2019-03-03","Delhi","Cochin","14:10:00",180,"non-stop",7931
"IndiGo","2019-03-03","Mumbai","Hyderabad","20:05:00",90,"non-stop",5232
"Multiple carriers","2019-03-03","Delhi","Cochin","04:00:00",560,"1 stop",14973
"IndiGo","2019-03-03","Delhi","Cochin","17:30:00",485,"1 stop",14871
"Multiple carriers","2019-03-03","Delhi","Cochin","10:20:00",915,"1 stop",15147
"IndiGo","2019-03-03","Delhi","Cochin","07:30:00",350,"1 stop",13628
"GoAir","2019-03-03","Banglore","New Delhi","20:55:00",175,"non-stop",7222
"Air India","2019-03-03","Delhi","Cochin","19:00:00",760,"1 stop",14777
"Jet Airways","2019-03-03","Delhi","Cochin","09:00:00",590,"1 stop",17024
"Air India","2019-03-03","Banglore","New Delhi","08:15:00",895,"1 stop",6781
"IndiGo","2019-03-03","Delhi","Cochin","10:45:00",890,"1 stop",14871
"Vistara","2019-03-03","Banglore","New Delhi","19:40:00",160,"non-stop",11913
"IndiGo","2019-03-03","Banglore","New Delhi","07:30:00",290,"1 stop",6220
"IndiGo","2019-03-03","Banglore","New Delhi","23:30:00",170,"non-stop",6144
"Air India","2019-03-03","Delhi","Cochin","05:10:00",170,"non-stop",7931
"IndiGo","2019-03-03","Chennai","Kolkata","14:40:00",145,"non-stop",7295
"Jet Airways","2019-03-03","Delhi","Cochin","09:55:00",535,"1 stop",18550
"SpiceJet","2019-03-03","Banglore","New Delhi","10:20:00",475,"1 stop",11401
"IndiGo","2019-03-03","Delhi","Cochin","04:55:00",425,"1 stop",9585
"Air India","2019-03-03","Delhi","Cochin","21:30:00",1305,"2 stops",12287
"Vistara","2019-03-03","Banglore","New Delhi","21:10:00",175,"non-stop",7608
"GoAir","2019-03-03","Delhi","Cochin","07:30:00",350,"1 stop",6112
"Air India","2019-03-03","Delhi","Cochin","05:55:00",2240,"2 stops",13748
"IndiGo","2019-03-03","Kolkata","Banglore","10:10:00",165,"non-stop",6565
"Jet Airways","2019-03-03","Delhi","Cochin","05:40:00",1365,"2 stops",19266
"IndiGo","2019-03-03","Banglore","New Delhi","16:55:00",170,"non-stop",8855
"IndiGo","2019-03-03","Banglore","New Delhi","05:25:00",285,"1 stop",7774
"IndiGo","2019-03-03","Banglore","New Delhi","13:00:00",170,"non-stop",12649
"Air India","2019-03-03","Delhi","Cochin","05:15:00",1535,"1 stop",12677
"IndiGo","2019-03-03","Delhi","Cochin","07:35:00",825,"2 stops",9413
"Air India","2019-03-03","Banglore","New Delhi","07:30:00",1640,"2 stops",12074
"Multiple carriers","2019-03-03","Delhi","Cochin","08:00:00",780,"1 stop",17057
"Vistara","2019-03-03","Chennai","Kolkata","07:05:00",135,"non-stop",5944
"Air India","2019-03-03","Delhi","Cochin","21:30:00",1305,"2 stops",12497
"Multiple carriers","2019-03-03","Delhi","Cochin","13:05:00",495,"2 stops",11966
"GoAir","2019-03-03","Banglore","New Delhi","15:45:00",270,"1 stop",8352
"IndiGo","2019-03-03","Banglore","New Delhi","01:30:00",165,"non-stop",6860
"IndiGo","2019-03-03","Delhi","Cochin","04:45:00",515,"1 stop",14871
"Jet Airways","2019-03-03","Delhi","Cochin","23:05:00",1185,"1 stop",18253
"IndiGo","2019-03-03","Delhi","Cochin","05:05:00",300,"1 stop",9581
"Air India","2019-03-03","Banglore","New Delhi","06:10:00",165,"non-stop",8851
"Air India","2019-03-03","Banglore","New Delhi","06:45:00",1030,"2 stops",10573
"IndiGo","2019-03-03","Chennai","Kolkata","13:20:00",135,"non-stop",7295
"Multiple carriers","2019-03-03","Delhi","Cochin","19:00:00",395,"1 stop",15288
"Air India","2019-03-03","Banglore","New Delhi","09:30:00",410,"1 stop",11654
"IndiGo","2019-03-03","Delhi","Cochin","08:35:00",765,"2 stops",8049
"Air India","2019-03-03","Banglore","New Delhi","09:30:00",855,"1 stop",11654
"Air India","2019-03-03","Delhi","Cochin","06:05:00",1640,"1 stop",14042
"Multiple carriers","2019-03-03","Delhi","Cochin","13:00:00",480,"1 stop",17493
"IndiGo","2019-03-03","Delhi","Cochin","02:35:00",355,"1 stop",13790
"Multiple carriers","2019-03-03","Delhi","Cochin","10:00:00",660,"1 stop",16863
"IndiGo","2019-03-03","Delhi","Cochin","06:40:00",400,"1 stop",14871
"Vistara Premium economy","2019-03-03","Banglore","New Delhi","16:00:00",155,"non-stop",11793
"Multiple carriers","2019-03-03","Delhi","Cochin","07:30:00",680,"1 stop",15135
"Multiple carriers","2019-03-03","Delhi","Cochin","07:05:00",375,"1 stop",17057
"GoAir","2019-03-03","Delhi","Cochin","14:10:00",310,"1 stop",22794
"IndiGo","2019-03-03","Delhi","Cochin","02:00:00",345,"1 stop",9257
"IndiGo","2019-03-03","Delhi","Cochin","05:35:00",195,"non-stop",7673
"IndiGo","2019-03-03","Banglore","New Delhi","19:35:00",300,"1 stop",13292
"Multiple carriers","2019-03-03","Delhi","Cochin","09:10:00",580,"1 stop",15135
"SpiceJet","2019-03-03","Kolkata","Banglore","22:20:00",140,"non-stop",5515
"Jet Airways","2019-03-03","Banglore","New Delhi","11:40:00",785,"1 stop",13502
"IndiGo","2019-03-03","Banglore","New Delhi","22:20:00",170,"non-stop",7648
"IndiGo","2019-03-03","Delhi","Cochin","09:10:00",710,"1 stop",14871
"IndiGo","2019-03-03","Delhi","Cochin","02:05:00",320,"1 stop",10394
"Multiple carriers","2019-03-03","Delhi","Cochin","12:50:00",765,"1 stop",18192
"Air India","2019-03-03","Banglore","New Delhi","08:50:00",1580,"2 stops",12599
"SpiceJet","2019-03-03","Chennai","Kolkata","08:20:00",135,"non-stop",7050
"Jet Airways","2019-03-03","Banglore","New Delhi","08:00:00",1420,"1 stop",13502
"Air Asia","2019-03-03","Banglore","New Delhi","05:50:00",170,"non-stop",7074
"Jet Airways","2019-03-03","Delhi","Cochin","21:50:00",1260,"1 stop",17024
"Air India","2019-03-03","Banglore","New Delhi","00:30:00",495,"1 stop",11392
"Air India","2019-03-03","Delhi","Cochin","07:05:00",2170,"2 stops",11552
"IndiGo","2019-03-03","Delhi","Cochin","14:30:00",185,"non-stop",7673
"IndiGo","2019-03-03","Banglore","New Delhi","20:00:00",175,"non-stop",6860
"Air India","2019-03-03","Banglore","New Delhi","05:50:00",425,"1 stop",12389
"IndiGo","2019-03-03","Delhi","Cochin","05:35:00",275,"1 stop",13753
"IndiGo","2019-03-03","Delhi","Cochin","07:20:00",310,"1 stop",12214
"Air India","2019-03-03","Banglore","New Delhi","06:10:00",165,"non-stop",7591
"IndiGo","2019-03-03","Delhi","Cochin","10:45:00",285,"1 stop",7725
"Multiple carriers","2019-03-03","Delhi","Cochin","07:00:00",380,"1 stop",15603
"Air India","2019-03-03","Banglore","New Delhi","06:55:00",385,"1 stop",10924
"IndiGo","2019-03-03","Delhi","Cochin","07:30:00",810,"1 stop",14871
"Multiple carriers","2019-03-03","Delhi","Cochin","15:25:00",610,"1 stop",15147
"Multiple carriers","2019-03-03","Delhi","Cochin","10:20:00",640,"1 stop",15147
"Air India","2019-03-03","Delhi","Cochin","07:05:00",2170,"2 stops",11762
"Jet Airways","2019-03-03","Delhi","Cochin","08:00:00",650,"1 stop",17024
"IndiGo","2019-03-03","Mumbai","Hyderabad","12:00:00",85,"non-stop",5755
"Air India","2019-03-03","Banglore","New Delhi","08:15:00",240,"1 stop",6273
"Jet Airways","2019-03-03","Delhi","Cochin","19:15:00",550,"1 stop",17234
"Air India","2019-03-03","Banglore","New Delhi","06:45:00",1670,"2 stops",12358
"Air India","2019-03-03","Banglore","New Delhi","05:50:00",2420,"2 stops",11791
"IndiGo","2019-03-03","Mumbai","Hyderabad","02:30:00",90,"non-stop",4575
"Jet Airways","2019-03-03","Delhi","Cochin","05:25:00",2245,"2 stops",20064
"IndiGo","2019-03-03","Delhi","Cochin","04:55:00",675,"1 stop",8513
"Jet Airways","2019-03-03","Delhi","Cochin","13:55:00",870,"1 stop",17024
"Air India","2019-03-03","Delhi","Cochin","04:00:00",1660,"1 stop",14462
"Jet Airways","2019-03-03","Banglore","New Delhi","05:45:00",1400,"1 stop",11087
"Air India","2019-03-03","Banglore","New Delhi","21:10:00",165,"non-stop",7591
"IndiGo","2019-03-03","Kolkata","Banglore","17:15:00",165,"non-stop",6985
"IndiGo","2019-03-03","Delhi","Cochin","11:55:00",565,"2 stops",9413
"IndiGo","2019-03-03","Delhi","Cochin","09:55:00",315,"1 stop",12214
"Air India","2019-03-03","Banglore","New Delhi","21:10:00",165,"non-stop",7591
"IndiGo","2019-03-03","Delhi","Cochin","20:30:00",305,"1 stop",8258
"IndiGo","2019-03-03","Banglore","New Delhi","08:30:00",180,"non-stop",6860
"Air India","2019-03-03","Delhi","Cochin","05:55:00",1545,"2 stops",15428
"Jet Airways","2019-03-03","Delhi","Cochin","05:25:00",1380,"2 stops",18799
"IndiGo","2019-03-03","Banglore","New Delhi","18:25:00",175,"non-stop",7648
"Jet Airways","2019-03-03","Mumbai","Hyderabad","02:55:00",90,"non-stop",4050
"IndiGo","2019-03-03","Delhi","Cochin","07:30:00",480,"1 stop",14871
"Multiple carriers","2019-03-03","Delhi","Cochin","15:05:00",630,"2 stops",34503
"Jet Airways","2019-03-03","Delhi","Cochin","07:05:00",705,"1 stop",17024
"Air India","2019-03-03","Banglore","New Delhi","17:00:00",165,"non-stop",19508
"Multiple carriers","2019-03-03","Delhi","Cochin","07:00:00",840,"1 stop",15603
"IndiGo","2019-03-03","Banglore","New Delhi","13:00:00",170,"non-stop",7648
"Multiple carriers","2019-03-03","Delhi","Cochin","13:55:00",700,"1 stop",17057
"Multiple carriers","2019-03-03","Delhi","Cochin","08:00:00",450,"1 stop",15078
"Multiple carriers","2019-03-03","Delhi","Cochin","17:30:00",485,"1 stop",17057
"IndiGo","2019-03-03","Chennai","Kolkata","19:35:00",140,"non-stop",7295
"Air India","2019-03-03","Banglore","New Delhi","06:45:00",1705,"2 stops",12599
"Air India","2019-03-03","Delhi","Cochin","05:55:00",1545,"2 stops",15113
"Air India","2019-03-03","Delhi","Cochin","17:20:00",965,"1 stop",16352
"IndiGo","2019-03-03","Banglore","New Delhi","08:30:00",180,"non-stop",6860
"IndiGo","2019-03-03","Banglore","New Delhi","10:05:00",175,"non-stop",7648
"Air India","2019-03-03","Delhi","Cochin","19:45:00",1410,"2 stops",12646
"Jet Airways","2019-03-03","Delhi","Cochin","08:00:00",1225,"1 stop",17024
"IndiGo","2019-03-03","Delhi","Cochin","06:40:00",570,"1 stop",9027
"IndiGo","2019-03-03","Delhi","Cochin","07:35:00",885,"1 stop",11600
"Air Asia","2019-03-03","Banglore","New Delhi","23:25:00",165,"non-stop",6477
"SpiceJet","2019-03-03","Delhi","Cochin","16:35:00",375,"1 stop",11726
"Multiple carriers","2019-03-03","Delhi","Cochin","09:45:00",755,"1 stop",13838
"Multiple carriers","2019-03-03","Delhi","Cochin","18:15:00",440,"1 stop",18916
"IndiGo","2019-03-03","Delhi","Cochin","04:55:00",985,"2 stops",8899
"Multiple carriers","2019-03-03","Delhi","Cochin","02:15:00",795,"1 stop",17057
"SpiceJet","2019-03-03","Banglore","New Delhi","09:35:00",175,"non-stop",7648
"Jet Airways","2019-03-03","Delhi","Cochin","20:50:00",455,"1 stop",17234
"IndiGo","2019-03-03","Delhi","Cochin","08:25:00",425,"1 stop",14871
"Multiple carriers","2019-03-03","Delhi","Cochin","08:55:00",595,"1 stop",15411
"SpiceJet","2019-03-03","Chennai","Kolkata","17:45:00",140,"non-stop",7298
"IndiGo","2019-03-03","Banglore","New Delhi","10:05:00",175,"non-stop",7648
"Multiple carriers","2019-03-03","Delhi","Cochin","19:00:00",395,"1 stop",16775
"Jet Airways","2019-03-03","Delhi","Cochin","05:25:00",2820,"2 stops",20064
"SpiceJet","2019-03-03","Banglore","New Delhi","09:35:00",175,"non-stop",6860
"IndiGo","2019-03-03","Delhi","Cochin","21:05:00",195,"non-stop",7673
"IndiGo","2019-03-03","Delhi","Cochin","11:30:00",570,"1 stop",14871
"Air India","2019-03-03","Banglore","New Delhi","08:15:00",790,"1 stop",6781
"IndiGo","2019-03-03","Banglore","New Delhi","18:55:00",170,"non-stop",8855
"Air India","2019-03-03","Banglore","New Delhi","17:25:00",920,"2 stops",11570
"Vistara","2019-03-03","Banglore","New Delhi","06:40:00",355,"1 stop",12476
"Air India","2019-03-03","Delhi","Cochin","18:05:00",185,"non-stop",8666
"Air India","2019-03-03","Mumbai","Hyderabad","19:30:00",75,"non-stop",11185
"Vistara","2019-03-03","Banglore","New Delhi","19:40:00",160,"non-stop",8553
"Air India","2019-03-03","Banglore","New Delhi","10:30:00",745,"1 stop",11003
"IndiGo","2019-03-03","Delhi","Cochin","08:25:00",755,"1 stop",14871
"IndiGo","2019-03-03","Banglore","New Delhi","20:00:00",175,"non-stop",7303
"Air India","2019-03-03","Banglore","New Delhi","13:20:00",170,"non-stop",10216
"Air India","2019-03-03","Banglore","New Delhi","10:30:00",655,"2 stops",11003
"IndiGo","2019-03-03","Mumbai","Hyderabad","19:05:00",85,"non-stop",5755
"GoAir","2019-03-03","Banglore","New Delhi","07:45:00",175,"non-stop",7222
"IndiGo","2019-03-03","Kolkata","Banglore","05:30:00",170,"non-stop",4778
"Air India","2019-03-03","Delhi","Cochin","22:00:00",1275,"2 stops",22096
"Multiple carriers","2019-03-03","Delhi","Cochin","09:45:00",385,"1 stop",11265
"Vistara","2019-03-03","Banglore","New Delhi","16:00:00",155,"non-stop",13383
"IndiGo","2019-03-03","Mumbai","Hyderabad","16:55:00",90,"non-stop",6795
"Air Asia","2019-03-03","Banglore","New Delhi","05:50:00",170,"non-stop",7652
"Multiple carriers","2019-03-03","Delhi","Cochin","11:35:00",565,"3 stops",21829
"Air India","2019-03-03","Banglore","New Delhi","10:30:00",1490,"1 stop",11003
"Multiple carriers","2019-03-03","Delhi","Cochin","04:00:00",690,"1 stop",14973
"Air India","2019-03-03","Delhi","Cochin","12:55:00",1820,"2 stops",21571
"Jet Airways","2019-03-03","Delhi","Cochin","18:20:00",2045,"2 stops",20747
"IndiGo","2019-03-03","Chennai","Kolkata","07:55:00",140,"non-stop",7295
"Air Asia","2019-03-03","Delhi","Cochin","16:45:00",865,"1 stop",13474
"SpiceJet","2019-03-03","Banglore","New Delhi","20:30:00",170,"non-stop",6860
"IndiGo","2019-03-03","Banglore","New Delhi","12:10:00",295,"1 stop",8738
"IndiGo","2019-03-03","Banglore","New Delhi","07:10:00",175,"non-stop",6860
"Multiple carriers","2019-03-03","Delhi","Cochin","10:45:00",485,"1 stop",15135
"Air India","2019-03-03","Kolkata","Banglore","14:15:00",150,"non-stop",13885
"Jet Airways","2019-03-03","Banglore","New Delhi","08:00:00",1265,"1 stop",13502
"IndiGo","2019-03-03","Delhi","Cochin","15:00:00",635,"1 stop",14871
"Jet Airways","2019-03-03","Delhi","Cochin","18:20:00",1470,"2 stops",20747
"Air India","2019-03-03","Banglore","New Delhi","08:50:00",1545,"2 stops",12358
"Air India","2019-03-03","Banglore","New Delhi","12:00:00",715,"3 stops",10573
"Air India","2019-03-03","Delhi","Cochin","09:45:00",795,"1 stop",27282
"Jet Airways","2019-03-03","Delhi","Cochin","05:25:00",805,"2 stops",18799
"IndiGo","2019-03-03","Delhi","Cochin","06:40:00",940,"1 stop",11600
"SpiceJet","2019-03-03","Kolkata","Banglore","09:00:00",150,"non-stop",5515
"Air India","2019-03-03","Delhi","Cochin","09:45:00",1420,"2 stops",12760
"Multiple carriers","2019-03-03","Delhi","Cochin","07:05:00",915,"1 stop",10478
"Multiple carriers","2019-03-03","Delhi","Cochin","13:00:00",755,"1 stop",18286
"GoAir","2019-03-03","Delhi","Cochin","05:45:00",455,"1 stop",5628
"Vistara","2019-03-03","Banglore","New Delhi","07:00:00",160,"non-stop",8028
"IndiGo","2019-03-03","Chennai","Kolkata","05:15:00",140,"non-stop",6482
"Multiple carriers","2019-03-03","Delhi","Cochin","07:05:00",505,"1 stop",17057
"Jet Airways","2019-03-03","Delhi","Cochin","18:15:00",1475,"1 stop",17234
"IndiGo","2019-03-03","Kolkata","Banglore","20:25:00",160,"non-stop",6038
"Air India","2019-03-03","Delhi","Cochin","16:40:00",1595,"2 stops",14011
"SpiceJet","2019-03-03","Banglore","New Delhi","15:35:00",485,"1 stop",6315
"Jet Airways","2019-03-03","Delhi","Cochin","17:30:00",655,"1 stop",17024
"Air India","2019-03-03","Delhi","Cochin","06:10:00",1565,"1 stop",13348
"Multiple carriers","2019-03-03","Delhi","Cochin","13:05:00",555,"1 stop",14153
"IndiGo","2019-03-03","Banglore","New Delhi","14:25:00",300,"1 stop",11873
"Air India","2019-03-03","Delhi","Cochin","06:10:00",1010,"1 stop",13002
"IndiGo","2019-03-03","Delhi","Cochin","06:40:00",530,"1 stop",14871
"Air Asia","2019-03-03","Delhi","Cochin","16:45:00",330,"1 stop",13774
"IndiGo","2019-03-03","Delhi","Cochin","07:35:00",265,"1 stop",8258
"Multiple carriers","2019-03-03","Delhi","Cochin","07:00:00",510,"1 stop",15603
"SpiceJet","2019-03-03","Delhi","Cochin","06:10:00",310,"1 stop",9748
"Air India","2019-03-03","Banglore","New Delhi","00:30:00",1405,"1 stop",10394
"IndiGo","2019-03-03","Banglore","New Delhi","00:40:00",165,"non-stop",6144
"Air India","2019-03-03","Banglore","New Delhi","11:05:00",2105,"2 stops",11791
"Air India","2019-03-03","Mumbai","Hyderabad","06:20:00",80,"non-stop",4937
"GoAir","2019-03-03","Delhi","Cochin","07:00:00",350,"1 stop",7378
"Multiple carriers","2019-03-03","Delhi","Cochin","07:05:00",855,"2 stops",8291
"Air India","2019-03-03","Delhi","Cochin","12:30:00",1255,"1 stop",16142
"IndiGo","2019-03-03","Delhi","Cochin","09:10:00",985,"1 stop",14871
"Air India","2019-03-03","Delhi","Cochin","17:15:00",1560,"2 stops",13442
"Air Asia","2019-03-03","Kolkata","Banglore","19:35:00",150,"non-stop",5964
"SpiceJet","2019-03-03","Kolkata","Banglore","17:15:00",150,"non-stop",6251
"Air India","2019-03-03","Mumbai","Hyderabad","13:55:00",90,"non-stop",6092
"Multiple carriers","2019-03-03","Delhi","Cochin","18:00:00",455,"1 stop",17703
"IndiGo","2019-03-03","Banglore","New Delhi","01:30:00",165,"non-stop",6144
"IndiGo","2019-03-03","Mumbai","Hyderabad","06:20:00",85,"non-stop",4784
"Air India","2019-03-03","Banglore","New Delhi","19:10:00",925,"2 stops",13355
"Multiple carriers","2019-03-03","Delhi","Cochin","02:15:00",555,"1 stop",17057
"Vistara","2019-03-03","Banglore","New Delhi","09:50:00",165,"non-stop",8028
"Multiple carriers","2019-03-03","Delhi","Cochin","13:55:00",425,"1 stop",17057
"IndiGo","2019-03-03","Banglore","New Delhi","04:00:00",170,"non-stop",6144
"Jet Airways","2019-03-03","Delhi","Cochin","02:15:00",995,"1 stop",17024
"Multiple carriers","2019-03-03","Delhi","Cochin","07:10:00",910,"1 stop",11125
"IndiGo","2019-03-03","Banglore","New Delhi","00:40:00",165,"non-stop",6860
"Jet Airways","2019-03-03","Delhi","Cochin","09:55:00",1110,"1 stop",19828
"IndiGo","2019-03-03","Kolkata","Banglore","22:10:00",165,"non-stop",5618
"Multiple carriers","2019-03-03","Delhi","Cochin","17:50:00",465,"2 stops",24528
"IndiGo","2019-03-03","Banglore","New Delhi","06:00:00",165,"non-stop",6144
"IndiGo","2019-03-03","Kolkata","Banglore","14:20:00",155,"non-stop",6565
"Air India","2019-03-03","Banglore","New Delhi","12:00:00",1355,"3 stops",12358
"Multiple carriers","2019-03-03","Delhi","Cochin","07:05:00",545,"1 stop",7905
"Air India","2019-03-03","Delhi","Cochin","05:55:00",1545,"2 stops",15113
"Air India","2019-03-03","Banglore","New Delhi","10:00:00",165,"non-stop",11423
"IndiGo","2019-03-04","Mumbai","Hyderabad","06:25:00",90,"non-stop",4049
"SpiceJet","2019-03-04","Mumbai","Hyderabad","13:15:00",90,"non-stop",1965
"IndiGo","2019-03-04","Kolkata","Banglore","15:15:00",150,"non-stop",4174
"Air India","2019-03-04","Mumbai","Hyderabad","21:05:00",80,"non-stop",2050
"Air India","2019-03-04","Kolkata","Banglore","19:00:00",965,"1 stop",4227
"Jet Airways","2019-03-04","Delhi","Cochin","11:00:00",195,"non-stop",4886
"Jet Airways","2019-03-04","Banglore","Delhi","11:10:00",175,"non-stop",7229
"GoAir","2019-03-04","Banglore","Delhi","11:40:00",170,"non-stop",3898
"Air India","2019-03-04","Banglore","Delhi","17:00:00",165,"non-stop",5176
"Jet Airways","2019-03-04","Mumbai","Hyderabad","19:35:00",90,"non-stop",5678
"Jet Airways","2019-03-04","Banglore","Delhi","08:20:00",180,"non-stop",4544
"IndiGo","2019-03-04","Banglore","Delhi","22:10:00",170,"non-stop",3943
"IndiGo","2019-03-04","Delhi","Cochin","16:00:00",300,"1 stop",5073
"Air India","2019-03-04","Kolkata","Banglore","09:10:00",1170,"2 stops",4647
"IndiGo","2019-03-04","Kolkata","Banglore","17:15:00",155,"non-stop",4174
"IndiGo","2019-03-04","Banglore","Delhi","16:55:00",180,"non-stop",4823
"IndiGo","2019-03-04","Kolkata","Banglore","06:15:00",255,"1 stop",4226
"Air Asia","2019-03-04","Banglore","Delhi","23:55:00",170,"non-stop",4483
"IndiGo","2019-03-04","Banglore","Delhi","04:00:00",170,"non-stop",3943
"Air India","2019-03-04","Delhi","Cochin","20:30:00",1590,"1 stop",5022
"Jet Airways","2019-03-04","Banglore","Delhi","07:10:00",180,"non-stop",4544
"SpiceJet","2019-03-04","Mumbai","Hyderabad","22:45:00",90,"non-stop",1759
"SpiceJet","2019-03-04","Banglore","Delhi","21:10:00",175,"non-stop",3919
"Air Asia","2019-03-04","Kolkata","Banglore","19:55:00",150,"non-stop",4107
"IndiGo","2019-03-04","Kolkata","Banglore","04:40:00",155,"non-stop",4174
"Vistara","2019-03-04","Banglore","Delhi","07:00:00",160,"non-stop",5403
"Jet Airways","2019-03-04","Mumbai","Hyderabad","19:35:00",90,"non-stop",2071
"Air India","2019-03-04","Mumbai","Hyderabad","19:30:00",75,"non-stop",2050
"Jet Airways","2019-03-04","Delhi","Cochin","02:15:00",620,"1 stop",5177
"IndiGo","2019-03-04","Delhi","Cochin","02:00:00",325,"1 stop",4744
"IndiGo","2019-03-04","Banglore","Delhi","20:00:00",170,"non-stop",4823
"Air India","2019-03-04","Banglore","Delhi","10:00:00",165,"non-stop",5176
"Air India","2019-03-04","Delhi","Cochin","06:05:00",1640,"1 stop",5117
"GoAir","2019-03-04","Banglore","Delhi","07:45:00",175,"non-stop",4239
"IndiGo","2019-03-04","Kolkata","Banglore","19:20:00",265,"1 stop",3480
"Jet Airways","2019-03-04","Mumbai","Hyderabad","07:05:00",85,"non-stop",4160
"SpiceJet","2019-03-04","Banglore","Delhi","09:30:00",170,"non-stop",3919
"Jet Airways","2019-03-04","Banglore","Delhi","17:45:00",180,"non-stop",7229
"Air India","2019-03-04","Mumbai","Hyderabad","13:55:00",90,"non-stop",2575
"Air India","2019-03-04","Delhi","Cochin","12:30:00",1255,"1 stop",5117
"IndiGo","2019-03-04","Banglore","Delhi","07:10:00",175,"non-stop",4823
"IndiGo","2019-03-04","Banglore","Delhi","21:15:00",180,"non-stop",3943
"Jet Airways","2019-03-04","Delhi","Cochin","14:00:00",1355,"1 stop",5177
"Jet Airways","2019-03-04","Banglore","Delhi","08:20:00",180,"non-stop",7229
"Air Asia","2019-03-04","Kolkata","Banglore","10:20:00",155,"non-stop",4107
"Jet Airways","2019-03-04","Mumbai","Hyderabad","10:20:00",90,"non-stop",8040
"GoAir","2019-03-04","Delhi","Cochin","07:00:00",355,"1 stop",4725
"SpiceJet","2019-03-04","Kolkata","Banglore","22:20:00",140,"non-stop",3873
"Jet Airways","2019-03-04","Delhi","Cochin","02:15:00",1005,"1 stop",4757
"Air India","2019-03-04","Delhi","Cochin","17:20:00",965,"1 stop",5117
"IndiGo","2019-03-04","Banglore","Delhi","06:05:00",165,"non-stop",4077
"IndiGo","2019-03-04","Kolkata","Banglore","09:35:00",165,"non-stop",4174
"SpiceJet","2019-03-04","Kolkata","Banglore","06:55:00",155,"non-stop",3873
"SpiceJet","2019-03-04","Mumbai","Hyderabad","13:15:00",90,"non-stop",2017
"IndiGo","2019-03-04","Banglore","Delhi","23:30:00",170,"non-stop",4591
"SpiceJet","2019-03-04","Delhi","Cochin","17:55:00",295,"1 stop",4611
"SpiceJet","2019-03-04","Mumbai","Hyderabad","05:45:00",90,"non-stop",1965
"Air India","2019-03-04","Delhi","Cochin","14:10:00",180,"non-stop",4729
"IndiGo","2019-03-04","Mumbai","Hyderabad","12:00:00",90,"non-stop",2754
"IndiGo","2019-03-04","Delhi","Cochin","20:25:00",305,"1 stop",5073
"Air India","2019-03-04","Banglore","Delhi","13:20:00",170,"non-stop",5176
"Jet Airways","2019-03-04","Banglore","Delhi","19:50:00",180,"non-stop",4544
"Air India","2019-03-04","Kolkata","Banglore","20:45:00",155,"non-stop",4460
"IndiGo","2019-03-04","Banglore","Delhi","18:25:00",175,"non-stop",4823
"Jet Airways","2019-03-04","Banglore","Delhi","18:55:00",185,"non-stop",7229
"Jet Airways","2019-03-04","Delhi","Cochin","14:00:00",300,"1 stop",5177
"IndiGo","2019-03-04","Delhi","Cochin","10:35:00",300,"1 stop",5073
"SpiceJet","2019-03-04","Banglore","Delhi","09:30:00",170,"non-stop",3971
"IndiGo","2019-03-04","Banglore","Delhi","10:10:00",170,"non-stop",3943
